Title	Tool Acronym	Body	Category	Tool URL	Code Repo	Project Info
Mutated Positions in Annotated Structures (MuPIT)	MuPIT	"MuPIT provides 3D visualization of mutation clusters and functional annotation.
"	Omics	http://mupit.icm.jhu.edu/MuPIT_Interactive/		https://projectreporter.nih.gov/project_info_description.cfm?aid=8910262&icde=26360419&ddparam=&ddvalue=&ddsub=&cr=4&csb=default&cs=ASC
The Network Data Exchange (NDEx)	NDEx	"NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server, a documentation website, provides seamless connectivity to Cytoscape as well as programmatic access using a variety of languages including Python and Java. NDEx  users can easily create accounts or sign in using their Google credentials thanks to  the supported open authentication (OAUTH2) method  and mint DOIs for their networks to use in publications or include in other resources for long term access. 
"	Network Biology	http://www.ndexbio.org/	https://github.com/ndexbio	https://projectreporter.nih.gov/project_info_description.cfm?aid=8842955&icde=26360750&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
Next Generation Clustered Heat Maps		"Next-Generation (Clustered) Heat Maps are interactive heat maps that enable the user to zoom and pan across the heatmap, alter its color scheme, generate production quality PDFs, and link out from rows, columns, and individual heatmap entries to related statistics, databases and other information.
"	Omics	http://bioinformatics.mdanderson.org/TCGA/NGCHMPortal/		https://projectreporter.nih.gov/project_info_description.cfm?aid=9134667&icde=31350124&ddparam=&ddvalue=&ddsub=&cr=3&csb=default&cs=ASC
OmniSearch		"OmniSearch is a semantic search software based upon the OMIT ontology. While OmniSearch is by its nature extensible, its initial focus is in human cancer research.
"	Data Standards	http://omnisearch.soc.southalabama.edu/ui/	https://github.com/OmniSearch/ncro	https://projectreporter.nih.gov/project_info_description.cfm?aid=8902071&icde=26360283&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Ontology for MIcroRNA Target (OMIT)	OMIT	"OMIT is a domain ontology specifically designed for the miRNA field.
"	Data Standards	http://omnisearch.soc.southalabama.edu/w/index.php/Ontology	https://github.com/OmniSearch/ncro	https://projectreporter.nih.gov/project_info_description.cfm?aid=8902071&icde=26360283&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
LesionTracker Web Image Viewer		"Extensible open-source zero-footprint web image viewer for oncology imaging. ""LesionTracker"" is a web browser based platform for viewing and measuring lesion metrics for tracking oncology trials.
"	Imaging	http://lesiontracker.ohif.org	https://github.com/OHIF	https://projectreporter.nih.gov/project_info_description.cfm?aid=8971104
owl-qa		"owl-qa is an OWL-based QA tool for cancer study CDEs. The tool uses the combination of the NCI Thesaurus and additional disjointness axioms to detect potential errors and duplications in the data element definitions. The tool comprises three modules: Data Integration and Services Module; Compositional Expression Transformation Module; and OWL-based Quality Assurance Module.
"	Data Standards	https://github.com/caCDE-QA/owl-qa	https://github.com/caCDE-QA/owl-qa	https://projectreporter.nih.gov/project_info_description.cfm?aid=8913908&icde=26360245&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
P-Mart		"Web-based software platform to enable analysis and exploration of publicly available cancer proteomic datasets, such as those generated by the CPTAC program.
"	Omics	https://pmart.labworks.org/index.html	https://hub.docker.com/r/pnnl/pmart-web/	https://projectreporter.nih.gov/project_info_description.cfm?aid=8847691
Personalized Cancer Therapy		"Curated website cataloguing clinically actionable information for personalized cancer therapy including clinically significant genetic variants and drug-gene association.
"	"Clinical, Omics"	https://pct.mdanderson.org/#/		https://projectreporter.nih.gov/project_info_description.cfm?aid=8904309&icde=26360351&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
PhenStat		"PhenStat is a freely available R package that provides a variety of statistical methods for the identification of phenotypic associations from model organisms developed for the International Mouse Phenotyping Consortium (IMPC at www.mousephenotype.org ). The methods have been developed for high throughput phenotyping pipelines implemented across various experimental designs with an emphasis on managing temporal variation and is being adapted for analysis with PDX mouse strains.
"	Omics		https://bioconductor.org/packages/release/bioc/html/PhenStat.html	https://projectreporter.nih.gov/project_info_description.cfm?aid=9350504&icde=31350730&ddparam=&ddvalue=&ddsub=&cr=3&csb=default&cs=ASC
Quantitative Imaging In Pathology (QUIP)	QUIP	"This site hosts web accessible applications, tools and data designed to support analysis, management, and exploration of whole slide tissue images for cancer research. The following tools are included: caMicroscope: A digital pathology data management and visualization plaform that enables interactive viewing of whole slide tissue images and segmentation results. caMicroscope can be also used independently of QUIP. FeatureExplorer: An interactive tool to allow patient-level feature exploration across multiple dimensions. FeatureScape: A visual analytics platform for exploring imaging features generated by analysis of whole slide tissue images.
"	Imaging	http://quip.bmi.stonybrook.edu	https://github.com/SBU-BMI/nscale	https://projectreporter.nih.gov/project_info_description.cfm?aid=8916055
RADIOMICS.io		"RADIOMICS.io is a open source platform for informatics developments for radiographic phenotyping using automated algorithms, such as engineered features or using deep learning technologies. With this platform, we aim to establish a reference standard for radiomic analyses, provide a tested and maintained resource, and to grow the community of radiomic developers addressing critical needs in cancer research.
"	Imaging	https://www.radiomics.io	https://github.com/Radiomics	https://projectreporter.nih.gov/project_info_description.cfm?aid=9247166&icde=34609132&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC&pball=
Region Templates		"A suite of libraries and runtime to support image analysis.
"	Imaging		https://github.com/SBU-BMI/region-templates	https://projectreporter.nih.gov/project_info_description.cfm?aid=8916055&icde=26360665&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
SampleMap		"Projects samples into a GoogleMap explorer to allow overlaying omics attributes to spot patterns quickly. A TumorMap version was built for TCGA analysis.
"	Omics	https://tumormap.ucsc.edu		https://projectreporter.nih.gov/project_info_description.cfm?aid=8840914&icde=26360537&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Pathology Imaging Informatics Platform (PIIP)	PIIP	"Freely downloadable pathology viewer which supports viewing, annotation and analysis of Whole Slide Images. Functionality will be extended as part of the Pathology Image Informatics Platform.
"	Imaging	http://pathiip.org		https://projectreporter.nih.gov/project_info_description.cfm?aid=9145647&icde=31351052&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
FHIR ShEx		"ShEx is a QA tool based on the Shape Expressions Language that is an emerging W3C standard to validate RDF graphs.
"	Data Standards	https://github.com/caCDE-QA/ShEX	https://github.com/caCDE-QA/ShEX	https://projectreporter.nih.gov/project_info_description.cfm?aid=8913908&icde=26360245&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
SlicerDMRI		"Diffusion magnetic resonance imaging for neurosurgical planning in 3D Slicer open-source software.
"	Imaging	http://dmri.slicer.org	https://github.com/SlicerDMRI	https://projectreporter.nih.gov/project_info_description.cfm?aid=8971083
Text Information Extraction System (TIES)	TIES	"TIES is a service based software system for acquiring, deidentifying, and processing clinical text reports using natural language processing, and also for querying, sharing and using this data to foster tissue and image based research, within and between institutions.
"	Clinical	http://ties.dbmi.pitt.edu	https://sourceforge.net/projects/caties/	https://projectreporter.nih.gov/project_info_description.cfm?aid=8901082&icde=26360679&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
The Laboratory for Individualized Breast Radiodensity Assessment (LIBRA)	LIBRA	"LIBRA is a fully-automatic breast density estimation software solution based on a published algorithm that works on either raw (i.e., “FOR PROCESSING”) or vendor post-processed (i.e., “FOR PRESENTATION”) digital mammography images. LIBRA has been applied to over 30,000 screening exams and is being increasingly utilized in larger studies.
"	Imaging	https://www.med.upenn.edu/sbia/libra.html		https://projectreporter.nih.gov/project_info_description.cfm?aid=8967740
Trinity		"Trinity Cancer Transcriptome Analysis Toolkit (CTAT) including de novo transcriptome assembly with downstream support for expression analysis and focused analyses on cancer transcriptomes, incorporating mutation and fusion transcript discovery, and single cell analysis.
"	Omics	https://github.com/trinityrnaseq/trinityrnaseq/wiki	https://github.com/trinityrnaseq/trinityrnaseq	https://projectreporter.nih.gov/project_info_description.cfm?aid=8894466&icde=26361047&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
UCSC Xena		"UCSC Xena securely analyzes and visualizes your private functional genomics data set in the context of public and shared genomic/phenotypic data sets such as TCGA, ICGC, TARGET, GTEx, and GA4GH (TOIL).
"	Omics	http://xena.ucsc.edu	https://github.com/ucscXena/	https://projectreporter.nih.gov/project_info_description.cfm?aid=8889644&icde=26360980&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
WebMeV		"Web MeV (Multiple-experiment Viewer) is a web/cloud-based tool for genomic data analysis. Web MeV is being built to meet the challenge of exploring large public genomic data set with intuitive graphical interface providing access to state-of-the-art analytical tools.
"	Omics	http://mev.tm4.org/#/welcome	https://github.com/dfci-cccb/mev	https://projectreporter.nih.gov/project_info_description.cfm?aid=8910256&icde=26360084&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
XNAT		"XNAT is an open source imaging informatics platform designed to support institutional image repositories, image-based clinical trials, and translational imaging research.
"	Imaging	http://www.xnat.org	https://bitbucket.org/xnatdev/xnat-web	https://projectreporter.nih.gov/project_info_description.cfm?aid=9094850&icde=30174193&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
Cloud-based Image Biomarker Platform  (C-BIBOP)	C-BIBOP	"C-BIBOP is a cloud based platform for medical imaging algorithm comparisons. C-BIBOP is used to conduct challenges and benchmarks and uses Docker containers to share algorithm.
"	Imaging	http://cbibop.github.io		https://projectreporter.nih.gov/project_info_description.cfm?aid=9135254&icde=31346725&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC
ivyGlimpse		"Bioconductor-based interface to Ivy-GAP (glioblastoma.alleninstitute.org) data resources
"	"Imaging, Omics"	https://vjcitn.shinyapps.io/ivyglimpse/	https://github.com/vjcitn/ivygapSE	https://www.youtube.com/watch?v=4qJaodLEI5o
The Cancer Proteome Atlas		"The Cancer Proteome Atals is a comprehensive bioinformatic resource for assessing, visualzing and analyzing the functional proteomics data of patient tumor and cell line samples.
"	Omics	http://tcpaportal.org		https://projectreporter.nih.gov/project_info_description.cfm?aid=9184861&icde=34687959&ddparam=&ddvalue=&ddsub=&cr=2&csb=default&cs=ASC&pball=
DINC 2.0		"DINC 2.0 is a parallelized meta-docking method for the incremental docking of large ligands (currently using AutoDock 4)
"	Omics	http://dinc.kavrakilab.org	http://dinc.kavrakilab.org/help/	
AMARETTO		"AMARETTO for multiOmics data fusion and reformulations for pan-etiology and pan-cancer applications.
"	Omics	https://personal.broadinstitute.org/npochet/resources.html	https://bitbucket.org/gevaertlab/pancanceramaretto/src	
dcmqi: DICOM for Quantitative Imaging		"dcmqi is a free, open source library that implements conversion of the data stored in commonly used research formats into the standard DICOM representation
"	"Data Standards, Imaging"		https://github.com/qiicr/dcmqi	https://projectreporter.nih.gov/project_info_description.cfm?aid=8911287&icde=26361021&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
Tools for Quantitative Analysis of PET Imaging		"A collection of extensions for 3D Slicer to enable quantitative analysis of PET imaging data: image normalization, segmentation, and extraction of quantitative indices.
"	Imaging	http://qin.iibi.uiowa.edu		https://projectreporter.nih.gov/project_info_description.cfm?aid=8911287&icde=26361021&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC
CLAMP-Cancer		"A tool to quickly build customized natural language processing pipelines for extracting cancer information from pathology reports, though user-friendly interface with minimum programming knowledge
"	Clinical	http://clamp.uth.edu/cancer.php		
Tumor Heterogenity Research Interactive Visualization Environment (THRIVE)	THRIVE	"A platform for quantitative evaluation of intratumoral spatial heterogeneity in multiplexed immunofluorescence images, via characterization of the spatial interactions between different cellular phenotypes and non-cellular constituents in the tumor microenvironment.
"	Imaging	http://www.csb.pitt.edu/ith/		https://projectreporter.nih.gov/project_info_description.cfm?aid=9269543&icde=34968138&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC&pball=
PETCT-CoSeg		"A PET-CT co-segmentation tool for tumor delineation.
"	Imaging		https://github.com/IOWA-PETCT-COSEG/PETCT_Slicer_Extension	https://projectreporter.nih.gov/project_info_description.cfm?aid=9185750&icde=34968780
Single Cell Genome Viewer (SCGV)	SCGV	"Graphics user interface for single-cell genomics
"	Omics		https://github.com/KrasnitzLab/SCGV	https://projectreporter.nih.gov/project_info_description.cfm?aid=8875279
BioMuta		"Cancer associated gene mutation
"	Omics	https://hive.biochemistry.gwu.edu/biomuta	https://hive.biochemistry.gwu.edu/biomuta/readme	
The Cancer Imaging Archive (TCIA) 	TCIA	"TCIA is NCI’s repository for publicly shared cancer imaging data. TCIA collections include radiology and pathology images, clinical and clinical trial data, image derived annotations and quantitative features and a growing collection of related ‘omics data both from clinical and pre-clinical studies.
"	Imaging	http://www.cancerimagingarchive.net		https://projectreporter.nih.gov/project_info_description.cfm?aid=9296616&icde=36416729
cBioPortal for Cancer Genomics 	cBioPortal	"The cBioPortal for Cancer Genomics provides visualization, analysis and download of large-scale cancer genomics data sets. 
"	Omics	http://www.cbioportal.org	https://github.com/cBioPortal/	https://projectreporter.nih.gov/project_info_description.cfm?aid=9389792&icde=36682339&ddparam=&ddvalue=&ddsub=&cr=9&csb=default&cs=ASC&pball=
Patient-Derived Xenograft (PDX) Finder 	PDX Finder	"PDX Finder, currently in the prototyping phase, is integrating, archiving and dessinminating information about PDX models and their associated data 
"	Omics	http://www.pdxfinder.org	https://github.com/PDXFinder/pdxfinder	
The BioMedical Evidence Graph (BMEG) 	BMEG	"The BMEG is a Cancer Data integration Platform that utilizes methods collected from DREAM challenges and applied to large datasets, such as the TCGA, and makes them avalible for analysis using a high performance graph database
"	Omics	http://bmeg.io	https://github.com/bmeg	https://projectreporter.nih.gov/project_info_description.cfm?aid=9292292&icde=36682352&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC&pball=
